epoch,train,valid,test
1,0.18017672940555385,0.0477,0.0486
2,0.06214365811018175,0.0463,0.0483
3,0.06242196876966951,0.0491,0.0509
4,0.06713321783735655,0.0534,0.0548
5,0.07173331795572478,0.0562,0.0581
6,0.0758450328784683,0.058,0.0602
7,0.0795946355361377,0.0602,0.0621
8,0.08320420157662255,0.0624,0.0637
9,0.08684041155972597,0.0647,0.0659
10,0.08980965497781872,0.0662,0.0667
11,0.09327117072925774,0.0675,0.0682
12,0.09668062922592759,0.0687,0.0698
13,0.10021174953950845,0.0699,0.0709
14,0.10334763815445983,0.0706,0.0718
15,0.10679729981826687,0.0717,0.0731
16,0.10975993015142069,0.0728,0.074
17,0.1126984969652987,0.0735,0.0748
18,0.11569757470656489,0.0751,0.076
19,0.11875884236495905,0.0761,0.0763
20,0.1217081320808874,0.0765,0.0771
21,0.12484843613451883,0.0771,0.0777
22,0.1282518267785574,0.0782,0.0784
23,0.13149918796734983,0.079,0.0795
24,0.13449253819753523,0.0791,0.0801
25,0.13784434395001452,0.08,0.0812
26,0.1410869587886949,0.0808,0.0816
27,0.144272671863533,0.0814,0.0823
28,0.14765811956386243,0.0819,0.0831
29,0.15064277865389866,0.0825,0.0839
30,0.15375302634792948,0.0834,0.085
31,0.15702207723797904,0.084,0.0855
32,0.15984552759448828,0.0845,0.0864
33,0.16294452172798068,0.085,0.087
34,0.1658590147351809,0.0857,0.0874
35,0.16905377729467225,0.0861,0.0876
36,0.17205213234594574,0.0861,0.0883
37,0.17498337281501067,0.087,0.0887
38,0.177770452490281,0.0876,0.0888
39,0.18079171715723583,0.0877,0.0893
40,0.18415554888268937,0.0887,0.0897
41,0.1876142124519153,0.0889,0.0899
42,0.1903187027204719,0.0889,0.0901
43,0.19343279447372833,0.0892,0.0905
44,0.1968129030124037,0.0896,0.0907
45,0.20062205408240874,0.0901,0.0909
46,0.2039357758725692,0.0906,0.0912
47,0.2074713364860517,0.0914,0.092
48,0.21051175286645427,0.0915,0.0924
49,0.2136764213458709,0.0916,0.0925
50,0.21741121078757827,0.0921,0.0928
51,0.2210352683483908,0.0931,0.093
52,0.22462149956057706,0.0932,0.0937
53,0.22761713445129686,0.0936,0.0937
54,0.23084063786885411,0.0939,0.0941
55,0.2339471546650817,0.0939,0.0949
56,0.23739243732475754,0.0943,0.095
57,0.24067129468079315,0.0945,0.0952
58,0.2441126689849807,0.0947,0.0954
59,0.24813814568810266,0.0948,0.0956
60,0.251762715475808,0.0952,0.0957
61,0.25490392224896763,0.0954,0.0957
62,0.2576088051533684,0.0955,0.0961
63,0.2613704837207761,0.0958,0.0964
64,0.26497486019557803,0.0958,0.0969
65,0.2684521572503744,0.096,0.0973
66,0.27208353901279125,0.0963,0.0972
67,0.27586820563732073,0.0967,0.0971
68,0.27894501155919926,0.0971,0.0979
69,0.2823957431128175,0.0976,0.0978
70,0.2862194890058123,0.0977,0.0983
71,0.28949686154682147,0.0979,0.0983
72,0.29338764786700183,0.0979,0.0982
73,0.29692016169491614,0.0979,0.0983
74,0.3007195787393911,0.0977,0.098
75,0.3037811927403203,0.0979,0.0981
76,0.3079715490649273,0.0985,0.0987
77,0.31230808165684343,0.0985,0.0988
78,0.3159999370548161,0.0983,0.0985
79,0.3198201680854503,0.0988,0.0984
80,0.3230059750328319,0.0992,0.0985
81,0.3264283322170816,0.0993,0.0981
82,0.33024757908625485,0.0996,0.0988
83,0.33376452293119524,0.0998,0.0992
84,0.33772401795225726,0.1004,0.0993
85,0.341311249614291,0.1003,0.0992
86,0.34547060656744455,0.1005,0.0993
87,0.3487473507196463,0.1006,0.0991
88,0.3521654292019346,0.1008,0.0993
89,0.355823029265711,0.1008,0.0999
90,0.35970850042817537,0.1007,0.0999
91,0.3626269729453946,0.1012,0.0996
92,0.3667880204616152,0.1012,0.1002
93,0.3702392578125,0.1013,0.1006
94,0.37387182948441844,0.1015,0.1008
95,0.3771734520038652,0.1016,0.1006
96,0.38080531727417755,0.1017,0.1011
97,0.38358168219159083,0.1017,0.101
98,0.387073337887772,0.1015,0.1009
99,0.39029114465645454,0.1014,0.1011
100,0.39386065369663936,0.1014,0.1016
101,0.3975440065568334,0.1016,0.1017
102,0.40065185642890755,0.1017,0.1024
103,0.4049287632386519,0.102,0.1025
104,0.4086251519517863,0.1022,0.1022
105,0.41154428886371996,0.1024,0.1025
106,0.4154157134359945,0.1021,0.1031
107,0.4187783693971242,0.1023,0.1028
108,0.42198500490448465,0.1026,0.1031
109,0.42564364485314965,0.1031,0.1033
110,0.4289257110213355,0.103,0.1029
111,0.4316673645297291,0.1029,0.1031
112,0.43482912467486323,0.1033,0.1034
113,0.4384333768435573,0.1031,0.1037
114,0.44146103384494917,0.1031,0.1033
115,0.44486005662954203,0.1027,0.1035
116,0.4478960129925224,0.1033,0.1036
117,0.45081535479521323,0.1029,0.1037
118,0.4541073423053744,0.1027,0.1034
119,0.4577359044623513,0.1028,0.1036
120,0.4612264534055306,0.1027,0.104
121,0.463859378504575,0.103,0.1041
122,0.46692782334045274,0.1031,0.1041
123,0.47042815474568006,0.1035,0.1042
124,0.4740280750608356,0.1039,0.1041
125,0.47725985212147626,0.1033,0.1045
126,0.4800314205376926,0.1035,0.104
127,0.48327502468153494,0.1037,0.1048
128,0.4862012470416175,0.1038,0.1048
129,0.48903959869996866,0.1042,0.1048
130,0.49212720553669626,0.1043,0.1047
131,0.4948997829755951,0.1044,0.1045
132,0.4977822727323603,0.1043,0.105
133,0.5003299409870726,0.1046,0.1052
134,0.5038046267563201,0.1049,0.1057
135,0.5066043166432718,0.1046,0.1052
136,0.5088983369989404,0.1048,0.1052
137,0.5122309846083457,0.1044,0.1053
138,0.5151153741053527,0.1046,0.1059
139,0.5181615458585498,0.1048,0.1059
140,0.5209028787429135,0.1046,0.1058
141,0.5228803857430105,0.105,0.1059
142,0.5258181934323469,0.1051,0.1058
143,0.5288754258572945,0.1052,0.1062
144,0.5323458252090291,0.1053,0.1062
145,0.5352839912428696,0.1052,0.1056
146,0.5381665024317224,0.1056,0.1055
147,0.5410765178471886,0.1057,0.1058
148,0.5431572383518627,0.1057,0.1061
149,0.5463729044836394,0.1056,0.1061
150,0.5491583060264534,0.1056,0.1059
151,0.5518830941965007,0.1055,0.1061
152,0.554735579887959,0.1061,0.1061
153,0.558069341108634,0.106,0.1058
154,0.5605396532437742,0.1061,0.1063
155,0.562402494288983,0.106,0.1061
156,0.5650886549789709,0.1063,0.1065
157,0.5674545054047542,0.1063,0.1066
158,0.5696667940658534,0.1062,0.107
159,0.5719046554938348,0.1059,0.1068
160,0.5746074474837728,0.1061,0.1068
161,0.5771583219787848,0.1061,0.1066
162,0.579250508650306,0.1059,0.1067
163,0.5811373364879172,0.1061,0.1067
164,0.5836313010748936,0.1058,0.1072
165,0.585900341903864,0.106,0.107
166,0.5877883510781416,0.1059,0.1069
167,0.589847726080885,0.1062,0.107
168,0.5920402372115796,0.1059,0.107
169,0.5943872822664502,0.106,0.1067
170,0.5970258722948796,0.1061,0.1073
171,0.5998872377288577,0.1062,0.1074
172,0.6025387881692792,0.1063,0.1075
173,0.6042005190776167,0.1064,0.1079
174,0.60668080827816,0.1068,0.108
175,0.6089078627903077,0.1066,0.1079
176,0.6120308917240787,0.107,0.1077
177,0.613070930923744,0.107,0.1079
178,0.6149170292221473,0.107,0.1079
179,0.617613089822023,0.107,0.1076
180,0.6195369745963168,0.1068,0.1077
181,0.6215928998902458,0.1068,0.1076
182,0.623595509008582,0.1066,0.1075
183,0.6254919538525251,0.1066,0.1076
184,0.6275717287734959,0.1067,0.1078
185,0.6294451624136627,0.1069,0.1077
186,0.631401373634272,0.1068,0.1078
187,0.6335453299419472,0.1069,0.108
188,0.6349744489738275,0.1067,0.1081
189,0.6365225761015366,0.1067,0.108
190,0.6384692749044012,0.1066,0.1082
191,0.6403834980936209,0.1069,0.1081
192,0.6428576217112136,0.1072,0.108
193,0.6449914054928472,0.1074,0.108
194,0.6465729975393631,0.107,0.1079
195,0.6488540043314626,0.1074,0.1082
196,0.650349501110381,0.1073,0.1081
197,0.6524384421065614,0.1071,0.1086
198,0.6537027089500288,0.1072,0.1083
199,0.6552010347645058,0.1074,0.1084
200,0.6565208004273634,0.1073,0.1083
201,0.6584795714965114,0.1075,0.1087
202,0.6603339648700858,0.1076,0.1084
203,0.6623152070544035,0.1075,0.1081
204,0.6639969915384335,0.1075,0.1081
205,0.6658437739490719,0.1075,0.1083
206,0.6675491028672169,0.1073,0.1085
207,0.6689870467754728,0.1074,0.1085
208,0.6706691656000688,0.1072,0.1086
209,0.6722717027971199,0.1074,0.1088
210,0.6738740171004604,0.1076,0.1086
211,0.6759536359958337,0.1075,0.109
212,0.6777896749296177,0.1075,0.1089
213,0.6790879793572716,0.1078,0.1085
214,0.6811009856099272,0.1076,0.1087
