epoch,train,valid,test
1,0.3830950194810282,0.0693,0.0691
2,0.4263686784590753,0.0753,0.0767
3,0.44192525128467314,0.0792,0.0812
4,0.508495305895836,0.08,0.0822
5,0.4924964424147033,0.0842,0.085
6,0.4983919739569941,0.0863,0.0872
7,0.5120199017611774,0.087,0.088
8,0.4709219193207203,0.0898,0.0922
9,0.5268270369451498,0.088,0.0923
10,0.5397359615060106,0.0904,0.0927
11,0.4976993999250691,0.0908,0.0964
12,0.5136465161402755,0.0921,0.0967
13,0.5008834073769767,0.0931,0.0973
14,0.4874218015506477,0.0936,0.0986
15,0.52003002760189,0.0931,0.0969
16,0.5722278990271037,0.0933,0.0963
17,0.5150826487267774,0.0944,0.0978
18,0.5635928196415371,0.0943,0.0965
19,0.6090890434659456,0.0933,0.0964
20,0.6536045928821677,0.0919,0.0949
21,0.5262336572052182,0.0951,0.0989
22,0.5799115456355265,0.0952,0.0984
23,0.6032158543377555,0.0947,0.0981
24,0.6105921467952479,0.096,0.0984
25,0.6547266164884128,0.093,0.0967
26,0.5952881832421976,0.0945,0.0979
27,0.6629801515994632,0.0931,0.0967
28,0.6045499739348965,0.0947,0.0987
29,0.6759118956813287,0.0933,0.0966
30,0.6844028134491916,0.0941,0.097
31,0.7233526189151293,0.0906,0.0934
32,0.6244347852617157,0.0958,0.0987
33,0.7210724622432663,0.092,0.0964
34,0.7417562895245404,0.0907,0.0928
35,0.7142131967267453,0.0931,0.0961
36,0.6946367596807502,0.0948,0.0967
37,0.7190355830095703,0.0934,0.097
38,0.6971527264399588,0.0945,0.0973
39,0.7087088645960562,0.0935,0.0985
40,0.7404113345784986,0.0923,0.096
41,0.7270292612175366,0.0941,0.0969
42,0.6764684032186133,0.095,0.0996
43,0.7032683737635398,0.0955,0.0985
44,0.650400424524701,0.095,0.0997
45,0.7204607452761395,0.0941,0.0974
dist = 0.14458536
