epoch,train,valid,test
1,0.3497922061380292,0.0706,0.0728
2,0.3637185177378952,0.0788,0.0813
3,0.36464199467156466,0.0841,0.0871
4,0.35545320144911363,0.0882,0.0902
5,0.3559207767306757,0.0904,0.0924
6,0.36526619136263144,0.0917,0.0944
7,0.36049146859577125,0.0925,0.0958
8,0.34638303140219867,0.094,0.0959
9,0.3621283408543844,0.0947,0.0978
10,0.35617749456194214,0.0952,0.0976
11,0.3712526980769307,0.0954,0.0979
12,0.3674168447690289,0.0966,0.0984
13,0.3741615690189209,0.0969,0.0992
14,0.3830772728670567,0.0981,0.0995
15,0.3712480644595992,0.0976,0.0999
16,0.38493935950278324,0.0984,0.1002
17,0.37299346452322196,0.0982,0.1016
18,0.3935847009954255,0.0989,0.1012
19,0.41612209275275297,0.1,0.1023
20,0.39757032001666176,0.0986,0.1016
21,0.4234157304856488,0.1,0.1029
22,0.44692234811076115,0.1004,0.1028
23,0.4428422718786431,0.1008,0.1027
24,0.4563225097244754,0.1012,0.1038
25,0.48348759584155226,0.1008,0.1041
26,0.4806400172408628,0.1009,0.1047
27,0.47872700539323226,0.1016,0.1042
28,0.47609735597445124,0.1019,0.1047
29,0.5059201546857662,0.102,0.1054
30,0.4500298859316403,0.1018,0.1045
31,0.4916646127868512,0.1018,0.1049
32,0.5279192889940271,0.1016,0.1052
33,0.5125906656174065,0.1032,0.1056
34,0.5404976011561613,0.1023,0.1042
35,0.4907273575927282,0.1035,0.106
36,0.5418515021335248,0.1029,0.106
37,0.5589747062137445,0.1016,0.1055
38,0.5812769742539521,0.1024,0.1057
39,0.582175523955217,0.1019,0.1065
40,0.5830266761661909,0.1015,0.1063
41,0.6263290706179947,0.1004,0.1054
42,0.628738707655956,0.1017,0.1051
43,0.6233477060684589,0.1006,0.1053
44,0.6382912891327287,0.1017,0.1062
45,0.6515488287285276,0.1015,0.1057
46,0.6553794320322596,0.1006,0.1046
47,0.6622013820946314,0.1012,0.1046
48,0.6299603829404479,0.1033,0.1062
49,0.6196405824513052,0.1033,0.1073
50,0.6485322589746747,0.1023,0.1061
51,0.6473654772674202,0.1018,0.1052
52,0.6738243049447125,0.1019,0.1057
53,0.6628684378171263,0.1022,0.1062
54,0.6775301940736225,0.1021,0.1058
55,0.6397906882661508,0.1028,0.1057
56,0.6605638077208297,0.1024,0.1064
0.02232936
