epoch,train,valid,test
1,0.7001775747952961,0.0377,0.0347
2,0.7000744192604542,0.0351,0.0326
3,0.6978961217737529,0.0342,0.0315
4,0.7003695130194941,0.0336,0.0304
5,0.7040834952148689,0.0338,0.0313
6,0.7094546454643706,0.0349,0.0323
7,0.7150847015420095,0.0359,0.0339
8,0.718198602528767,0.0376,0.0368
9,0.7185372040430541,0.041,0.04
10,0.7118518188821837,0.0441,0.0431
11,0.6944677100325035,0.0481,0.0485
12,0.6631402146880625,0.0512,0.0517
13,0.6253614963679609,0.0541,0.0562
14,0.5878241564749935,0.0595,0.0622
15,0.5506661762091396,0.065,0.0685
16,0.5115405254604333,0.0696,0.0739
17,0.46002905706600344,0.0754,0.0802
18,0.40367452357108996,0.0806,0.0844
19,0.3570109352902417,0.0854,0.0862
20,0.33109920910741836,0.0859,0.0892
21,0.3267692097050575,0.0868,0.0912
22,0.3338097162067691,0.0886,0.0934
23,0.34740540162859185,0.0905,0.0939
24,0.3637625378672216,0.0914,0.0949
25,0.38234056593918747,0.0924,0.0962
26,0.4014601668467955,0.093,0.0968
27,0.4196443274751302,0.094,0.0973
28,0.44023829229879147,0.0948,0.0991
29,0.45922033261382267,0.0964,0.0988
30,0.4772078027820857,0.0959,0.0992
31,0.49551496910356135,0.0967,0.0992
32,0.512175777608921,0.0965,0.0999
33,0.5296243429735713,0.0969,0.0997
34,0.5442466745648785,0.0972,0.0994
35,0.5596065286806537,0.0971,0.0996
36,0.5748370993808659,0.0972,0.0995
37,0.5896612409148801,0.0975,0.0992
38,0.6030984577895989,0.0973,0.0992
39,0.6159388955376944,0.0974,0.0989
40,0.6286211817636683,0.0972,0.0985
41,0.6405713160567064,0.0975,0.0984
42,0.6520665006669453,0.0976,0.098
43,0.6619429337454198,0.0975,0.0983
44,0.6715143825131782,0.0969,0.0987
45,0.680879774459011,0.0961,0.0985
46,0.6894251389134417,0.0961,0.0991
47,0.6969652673707091,0.0961,0.099
48,0.7045140025854172,0.096,0.0988
49,0.7125926403497846,0.0958,0.0986
50,0.7192121659247236,0.0958,0.0986
51,0.7268316730431585,0.0959,0.0981
52,0.7332930188462249,0.0954,0.0983
53,0.7394534012197865,0.0953,0.0973
54,0.7448416708183337,0.095,0.0974
55,0.7509593113187838,0.0948,0.0973
56,0.7561777967755609,0.0949,0.0973
57,0.7615097708982869,0.0946,0.097
58,0.7660001629696741,0.0944,0.0968
59,0.7707501074746078,0.0941,0.0964
60,0.7751649848229782,0.0943,0.0959
61,0.7801089486170931,0.0944,0.0958
62,0.7841015894942064,0.0944,0.0959
63,0.7877151281308258,0.0944,0.0961
dist = 0.06894176
