epoch,train,valid,test
1,0.6789563194715117,0.0495,0.0472
2,0.6500464565359184,0.0437,0.043
3,0.6216005382862538,0.0406,0.0397
4,0.5951789492897468,0.0389,0.0388
5,0.5616236042190089,0.0389,0.0379
6,0.49348911525654093,0.0379,0.0363
7,0.42051611992005344,0.0379,0.0364
8,0.37814861027348795,0.0428,0.0405
9,0.3478736965312965,0.0525,0.05
10,0.30271044821744286,0.0648,0.0634
11,0.23594172246416362,0.0773,0.0777
12,0.17799456054303436,0.084,0.0853
13,0.16429552551574725,0.0848,0.0872
14,0.16864628729923928,0.0871,0.0897
15,0.17819603159626024,0.0907,0.092
16,0.1879049802979791,0.0934,0.0945
17,0.19845162014511436,0.0961,0.0967
18,0.20925712660461526,0.0976,0.0988
19,0.21977993654222916,0.0995,0.1001
20,0.23084085090380452,0.1009,0.1009
21,0.2418332134473792,0.1014,0.1027
22,0.25361213317593334,0.1023,0.1042
23,0.2649707983863428,0.103,0.1049
24,0.2760292154810751,0.1038,0.1057
25,0.2880556599612557,0.1041,0.107
26,0.2994562771971477,0.105,0.1073
27,0.3112551832046393,0.1055,0.1081
28,0.3222603647084281,0.1065,0.1089
29,0.33425402838203694,0.1073,0.1095
30,0.34585309646137513,0.107,0.1103
31,0.35795599091246566,0.1075,0.1105
32,0.36836270537495086,0.108,0.1111
33,0.3795987396094496,0.1085,0.1108
34,0.3914297937482882,0.1082,0.1112
35,0.4031590754761174,0.1084,0.1114
36,0.41448360108560345,0.109,0.1113
37,0.4260515274844268,0.109,0.1109
38,0.4372124405374446,0.1093,0.1114
39,0.44778088839096036,0.1091,0.1117
40,0.4594315615080201,0.1089,0.1116
41,0.4706068306305722,0.1087,0.1115
42,0.481315293454864,0.1088,0.1113
43,0.49220555781969844,0.1088,0.1118
44,0.5021126594588464,0.1087,0.1116
45,0.5129043585102547,0.1086,0.1115
46,0.5228726487593996,0.1094,0.1112
47,0.5321783060116395,0.1093,0.1115
48,0.5410233774147138,0.1094,0.1116
49,0.5503885284274661,0.1099,0.1117
50,0.559610471088395,0.1096,0.1112
51,0.5677951881541141,0.1099,0.1114
52,0.5770185058977813,0.1101,0.1109
53,0.5850164226028542,0.1093,0.1108
54,0.5917856994522603,0.1092,0.1108
55,0.6000026520922436,0.1094,0.1107
56,0.6067475580862381,0.1093,0.1101
57,0.61403622871852,0.1093,0.1099
58,0.6210403892456652,0.1094,0.1095
59,0.6280606769900609,0.1094,0.1093
60,0.6342016130399487,0.1094,0.1094
61,0.6402881990303396,0.1092,0.1094
62,0.6460340885548346,0.1094,0.11
63,0.6527611647665423,0.1091,0.1095
64,0.6590928858307963,0.1089,0.1095
65,0.6643678198048785,0.109,0.1095
66,0.6699635389782256,0.109,0.1094
67,0.6755756837034823,0.1089,0.1089
68,0.6803209364926576,0.1086,0.1086
69,0.6852209683890905,0.1087,0.1086
70,0.6907235488535829,0.1086,0.1083
71,0.6951002588941312,0.1085,0.1083
72,0.6997680869810541,0.1085,0.1079
73,0.70414802726584,0.1083,0.1077
dist = 0.01588008
